# ================================================================
# FITS HEADER INFO for HD164259
# Extracted from: HD164259_Kband4_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1923616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 48080D  / 
# TDIM3      = (12020,4)  / 
# TTYPE4     = flux  / 
# TFORM4     = 48080D  / 
# TDIM4      = (12020,4)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 48080D  / 
# TDIM5      = (12020,4)  / 
# TTYPE6     = mask  / 
# TFORM6     = 48080K  / 
# TDIM6      = (12020,4)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 48080D  / 
# TDIM7      = (12020,4)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1539599  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 392A  / 
# TDIM2      = (8,49)  / 
# TTYPE3     = wave  / 
# TFORM3     = 48100D  / 
# TDIM3      = (12025,4)  / 
# TTYPE4     = flux  / 
# TFORM4     = 48100D  / 
# TDIM4      = (12025,4)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 48100D  / 
# TDIM5      = (12025,4)  / 
# TTYPE6     = mask  / 
# TFORM6     = 48100K  / 
# TDIM6      = (12025,4)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 312017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 7800D  / 
# TDIM2      = (1950,4)  / 
# TTYPE3     = flux  / 
# TFORM3     = 7800D  / 
# TDIM3      = (1950,4)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 7800D  / 
# TDIM4      = (1950,4)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 7800D  / 
# TDIM5      = (1950,4)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 7800D  / 
# TDIM6      = (1950,4)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
2.246253  -0.001290
2.246454  1.704470
2.246472  1.728749
2.246490  1.716420
2.246509  1.715552
2.246530  1.771270
2.246549  1.766912
2.246569  1.795732
2.246588  1.785127
2.246608  1.775027
2.246628  1.779275
2.246651  1.780975
2.246676  1.802880
2.246699  1.814023
2.246719  1.807043
2.246738  1.790935
2.246758  1.789543
2.246780  1.763559
2.246803  1.715485
2.246823  1.698247
2.246842  1.676805
2.246862  1.706644
2.246882  1.697001
2.246901  1.735889
2.246921  1.748062
2.246940  1.759788
2.246960  1.764215
2.246980  1.777664
2.246999  1.776042
2.247018  1.759250
2.247043  1.708808
2.247065  1.742373
2.247082  1.599191
2.247110  1.462639
2.247128  1.345077
2.247149  1.427912
2.247171  1.534399
2.247195  1.508296
2.247215  1.460712
2.247234  1.414640
2.247253  1.409847
2.247273  1.452227
2.247292  1.551232
2.247312  1.613206
2.247332  1.680941
2.247351  1.706368
2.247371  1.724918
2.247391  1.735084
2.247415  1.741145
2.247440  1.703984
2.247463  1.699096
2.247482  1.674459
2.247502  1.688337
2.247521  1.694167
2.247541  1.724212
2.247564  1.724905
2.247587  1.726795
2.247606  1.727427
2.247626  1.751050
2.247645  1.741338
2.247666  1.761989
2.247685  1.772303
2.247704  1.753507
2.247724  1.769140
2.247744  1.762220
2.247764  1.765754
2.247783  1.769385
2.247807  1.739713
2.247830  1.758538
2.247851  1.759235
2.247875  1.761687
2.247894  1.753808
2.247914  1.753487
2.247934  1.743305
2.247953  1.733269
2.247976  1.735547
2.247999  1.736384
2.248018  1.744717
2.248038  1.756516
2.248058  1.756637
2.248077  1.747742
2.248097  1.747959
2.248117  1.771009
2.248137  1.790602
2.248156  1.777641
2.248176  1.793345
2.248196  1.793757
2.248215  1.777787
2.248239  1.768450
2.248264  1.766255
2.248287  1.736704
2.248307  1.733836
2.248327  1.785951
2.248346  1.752408
2.248366  1.781852
2.248388  1.781657
2.248411  1.777214
2.248431  1.797193
2.248451  1.786180
2.248471  1.761667
2.248491  1.754831
2.248510  1.732617
2.248530  1.746119
2.248549  1.771327
2.248569  1.773565
2.248588  1.774819
2.248608  1.779635
2.248632  1.779461
2.248655  1.783064
2.248674  1.778922
2.248697  1.763697
2.248720  1.750649
2.248739  1.734201
2.248759  1.746194
2.248779  1.751774
2.248799  1.753513
2.248821  1.755332
2.248845  1.775133
2.248864  1.763064
2.248884  1.759590
2.248904  1.744501
2.248923  1.736741
2.248943  1.737211
2.248962  1.743266
2.248983  1.761954
2.249002  1.767158
2.249022  1.775597
2.249046  1.754237
2.249068  1.755711
2.249088  1.768230
2.249107  1.744041
2.249131  1.721399
2.249153  1.703714
2.249173  1.707647
2.249193  1.717035
2.249213  1.752708
2.249232  1.763797
2.249255  1.779103
2.249278  1.791955
2.249298  1.793192
2.249318  1.789021
2.249337  1.781259
2.249357  1.765039
2.249377  1.780251
2.249396  1.774966
2.249416  1.754665
2.249436  1.786395
2.249455  1.766278
2.249479  1.767754
2.249502  1.796460
2.249522  1.800044
2.249542  1.813636
2.249562  1.821110
2.249584  1.793385
2.249607  1.766480
2.249627  1.739889
2.249647  1.693140
2.249667  1.663627
2.249686  1.643944
2.249709  1.637083
2.249732  1.620494
2.249752  1.634705
2.249771  1.668351
2.249791  1.714900
2.249811  1.743993
