# ================================================================
# FITS HEADER INFO for GJ876
# Extracted from: GJ876_Kband2_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 5604616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 140105D  / 
# TDIM3      = (20015,7)  / 
# TTYPE4     = flux  / 
# TFORM4     = 140105D  / 
# TDIM4      = (20015,7)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 140105D  / 
# TDIM5      = (20015,7)  / 
# TTYPE6     = mask  / 
# TFORM6     = 140105K  / 
# TDIM6      = (20015,7)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 140105D  / 
# TDIM7      = (20015,7)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 4472319  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 376A  / 
# TDIM2      = (8,47)  / 
# TTYPE3     = wave  / 
# TFORM3     = 139748D  / 
# TDIM3      = (19964,7)  / 
# TTYPE4     = flux  / 
# TFORM4     = 139748D  / 
# TDIM4      = (19964,7)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 139748D  / 
# TDIM5      = (19964,7)  / 
# TTYPE6     = mask  / 
# TFORM6     = 139748K  / 
# TDIM6      = (19964,7)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 546017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 13650D  / 
# TDIM2      = (1950,7)  / 
# TTYPE3     = flux  / 
# TFORM3     = 13650D  / 
# TDIM3      = (1950,7)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 13650D  / 
# TDIM4      = (1950,7)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 13650D  / 
# TDIM5      = (1950,7)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 13650D  / 
# TDIM6      = (1950,7)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.956492  -0.001419
1.956517  -0.015339
1.956533  -0.015388
1.956637  4.323206
1.956654  4.382497
1.956672  4.364950
1.956690  4.041276
1.956707  3.623312
1.956723  3.016278
1.956740  2.159691
1.956761  0.859878
1.956778  0.138314
1.956795  0.069023
1.956861  1.768509
1.956880  2.943697
1.956896  3.076091
1.956914  3.167647
1.956931  3.502711
1.956949  3.379830
1.956966  3.324228
1.956983  3.181390
1.957001  2.997374
1.957019  2.669538
1.957036  2.485176
1.957054  1.929786
1.957070  1.545788
1.957091  1.657764
1.957106  1.943826
1.957121  2.185450
1.957139  2.176660
1.957162  2.235634
1.957184  2.198398
1.957201  1.969106
1.957218  1.934662
1.957236  1.794636
1.957254  1.335750
1.957364  0.017904
1.957382  0.032116
1.957430  0.453391
1.957447  0.682898
1.957467  1.177490
1.957489  1.408068
1.957504  1.637400
1.957521  1.671356
1.957538  1.646880
1.957560  1.767729
1.957580  1.822188
1.957598  1.916091
1.957620  1.771652
1.957642  1.770894
1.957655  1.675497
1.957678  1.564225
1.957693  1.661293
1.957714  1.211814
1.957729  1.151567
1.957746  1.079577
1.957764  1.109657
1.957781  1.143842
1.957800  1.003811
1.957818  0.881291
1.957838  0.513425
1.957900  0.032018
1.957920  0.096500
1.957944  0.370720
1.957963  0.468481
1.957981  0.473228
1.958015  0.221493
1.958038  0.535016
1.958057  0.797504
1.958073  0.869345
1.958089  0.838884
1.958113  0.697601
1.958128  0.669024
1.958145  0.605105
1.958161  0.691055
1.958182  0.660428
1.958215  0.390557
1.958232  0.559130
1.958244  0.561925
1.958267  0.844544
1.958285  0.842994
1.958301  0.826023
1.958320  0.798071
1.958356  0.541340
1.958373  0.528835
1.958389  0.482507
1.958457  0.026003
1.958475  0.104135
1.958490  0.136336
1.958508  0.306287
1.958528  0.395234
1.958544  0.347343
1.958561  0.535040
1.958579  0.606416
1.958595  0.702976
1.958615  0.730900
1.958632  0.687672
1.958650  0.778769
1.958667  0.812833
1.958685  0.764705
1.958701  0.788155
1.958720  0.779377
1.958736  0.720720
1.958759  0.669235
1.958772  0.681353
1.958795  0.678951
1.958810  0.603050
1.958827  0.534282
1.958859  0.308829
1.958869  0.365062
1.958889  0.439957
1.958903  0.534166
1.958924  0.529281
1.958949  0.416012
1.958965  0.322436
1.959067  0.175243
1.959117  0.355060
1.959139  0.441787
1.959162  0.535774
1.959181  0.557949
1.959192  0.574301
1.959207  0.574186
1.959230  0.469063
1.959252  0.438369
1.959269  0.376902
1.959281  0.330968
1.959295  0.289211
1.959331  0.039923
1.959346  0.089752
1.959361  0.156805
1.959378  0.215168
1.959398  0.318530
1.959415  0.397920
1.959434  0.402266
1.959450  0.484346
1.959468  0.441350
1.959485  0.405791
1.959523  0.246538
1.959556  0.168236
1.959588  0.060565
1.959612  0.015573
1.959633  0.017447
1.959650  0.028012
1.959672  0.089913
1.959687  0.162402
1.959706  0.206160
1.959720  0.281268
1.959739  0.329389
1.959756  0.363319
1.959776  0.392343
1.959799  0.388946
1.959816  0.439947
1.959835  0.471863
1.959853  0.495372
1.959870  0.534109
1.959887  0.492373
1.959905  0.490369
1.959922  0.530225
1.959941  0.466890
1.959957  0.505512
1.959974  0.476275
1.959991  0.457299
1.960010  0.518260
1.960027  0.459871
1.960044  0.459683
1.960062  0.494662
1.960079  0.431906
1.960098  0.462850
1.960115  0.343837
1.960134  0.285414
1.960149  0.205366
1.960183  0.067116
1.960197  0.100702
1.960220  0.214877
1.960228  0.203648
1.960249  0.255162
1.960266  0.342978
1.960285  0.353768
1.960308  0.399881
1.960323  0.427481
1.960342  0.470043
1.960360  0.413113
1.960376  0.393180
1.960394  0.424409
1.960410  0.498651
1.960428  0.464647
1.960446  0.516841
1.960465  0.469042
1.960483  0.383291
1.960503  0.289791
1.960522  0.324576
1.960540  0.420112
1.960559  0.454675
1.960578  0.464491
1.960594  0.457232
1.960613  0.478563
1.960628  0.437702
1.960648  0.482140
1.960665  0.406042
1.960683  0.395016
1.960700  0.403583
1.960719  0.431579
1.960737  0.311931
1.960749  0.224777
1.960777  0.136895
1.960787  0.097120
1.960810  0.245522
1.960828  0.313150
1.960848  0.419151
1.960865  0.393031
1.960884  0.402000
1.960901  0.452354
1.960918  0.422271
1.960937  0.420880
1.960955  0.389093
1.960973  0.363920
1.960993  0.302566
1.961014  0.348117
1.961032  0.348873
1.961045  0.338497
1.961069  0.314773
1.961081  0.231138
1.961096  0.196290
1.961154  0.049468
1.961175  0.121583
1.961196  0.181118
1.961213  0.247577
1.961232  0.276638
1.961249  0.308497
1.961266  0.244879
1.961286  0.252566
1.961300  0.232948
1.961319  0.327726
1.961336  0.382237
1.961355  0.386871
1.961372  0.389884
1.961390  0.407162
1.961411  0.424081
1.961426  0.420251
1.961443  0.424076
1.961466  0.414426
1.961481  0.408422
1.961497  0.412072
1.961519  0.381115
1.961535  0.356876
1.961558  0.369309
1.961574  0.399840
1.961593  0.389890
1.961630  0.348857
1.961660  0.143138
1.961687  0.124321
1.961709  0.191984
1.961721  0.213475
1.961741  0.263816
1.961757  0.265272
1.961775  0.319311
1.961794  0.353741
1.961810  0.388036
1.961830  0.428425
1.961847  0.449949
1.961865  0.455377
1.961882  0.467041
1.961899  0.418582
1.961918  0.457431
1.961933  0.402293
1.961957  0.426707
1.961974  0.412413
1.961992  0.406032
1.962014  0.441837
1.962027  0.366776
1.962042  0.359646
1.962056  0.350801
1.962078  0.276003
1.962101  0.401192
1.962119  0.351306
1.962137  0.410678
1.962154  0.337655
1.962171  0.400317
1.962192  0.287276
1.962206  0.317610
1.962280  0.021473
1.962301  0.038157
1.962317  0.105004
1.962329  0.111097
1.962353  0.234901
1.962376  0.330701
1.962393  0.316887
1.962408  0.370211
1.962430  0.370789
1.962448  0.341193
1.962470  0.324182
1.962483  0.325162
1.962500  0.320166
1.962523  0.384325
1.962558  0.347289
1.962577  0.340735
1.962593  0.363019
1.962613  0.337228
1.962627  0.310400
1.962646  0.336079
1.962663  0.319084
1.962681  0.398496
1.962700  0.415493
1.962717  0.387295
1.962735  0.414337
1.962754  0.349784
1.962771  0.365394
1.962788  0.307142
1.962811  0.262033
1.962833  0.182907
1.962853  0.126577
1.962866  0.113873
1.962935  0.024002
1.962982  0.056907
1.962998  0.106649
1.963011  0.120432
1.963031  0.213346
1.963049  0.245339
1.963084  0.270766
1.963102  0.292689
1.963121  0.386470
1.963138  0.411532
1.963157  0.391639
1.963175  0.377864
1.963193  0.327576
1.963210  0.387609
1.963229  0.365529
1.963248  0.451644
1.963266  0.361175
1.963282  0.411453
1.963297  0.354016
1.963320  0.384746
1.963341  0.355925
1.963358  0.381685
1.963377  0.369185
1.963394  0.330358
1.963413  0.300081
1.963431  0.268553
1.963449  0.196056
1.963513  0.049808
1.963542  0.005466
1.963579  0.081721
1.963594  0.100136
1.963611  0.163868
1.963630  0.237219
1.963648  0.225246
1.963665  0.272217
1.963686  0.219524
1.963704  0.235654
1.963720  0.219819
1.963734  0.218733
1.963756  0.258818
1.963776  0.283797
1.963789  0.291815
1.963812  0.336637
1.963827  0.382039
1.963844  0.360445
1.963862  0.372644
1.963877  0.268140
1.963902  0.244799
1.963938  0.345970
1.963957  0.298626
1.963976  0.369478
1.963994  0.384376
1.964005  0.296501
1.964028  0.329743
1.964046  0.382331
1.964065  0.330070
1.964083  0.361958
1.964100  0.243920
1.964195  0.017527
1.964210  0.067911
1.964228  0.109005
1.964246  0.183221
1.964266  0.297765
1.964282  0.271825
1.964303  0.373738
1.964318  0.343770
1.964352  0.362145
1.964390  0.447743
1.964408  0.450863
1.964426  0.411638
1.964443  0.394648
1.964463  0.377222
1.964478  0.450964
1.964497  0.405330
1.964521  0.442560
1.964547  0.172496
1.964599  0.226460
1.964617  0.291862
1.964628  0.320139
1.964647  0.309997
1.964671  0.304333
1.964688  0.323506
1.964705  0.425968
1.964740  0.279336
1.964768  0.218994
1.964786  0.146470
1.964834  0.015417
1.964865  0.073699
1.964881  0.114271
1.964900  0.178670
1.964920  0.234877
1.964938  0.217838
1.964955  0.247842
1.964972  0.272690
1.964990  0.297490
1.965007  0.370008
1.965025  0.352145
1.965045  0.372475
1.965062  0.430260
1.965084  0.386069
1.965099  0.389199
1.965120  0.409787
1.965141  0.445968
1.965159  0.394048
1.965177  0.415175
1.965195  0.416238
1.965210  0.383858
1.965229  0.478260
1.965247  0.397335
1.965265  0.338530
1.965292  0.420394
1.965308  0.379548
1.965324  0.384356
1.965337  0.394625
1.965354  0.348086
1.965379  0.296038
1.965395  0.317313
1.965409  0.269502
1.965430  0.206000
1.965488  0.015094
1.965521  0.058651
1.965573  0.136181
1.965593  0.224450
1.965608  0.298504
1.965628  0.366297
1.965645  0.346572
1.965662  0.368460
1.965682  0.398331
1.965700  0.394548
1.965721  0.377877
1.965739  0.374216
1.965757  0.398020
1.965777  0.378697
1.965798  0.418734
1.965813  0.380933
1.965832  0.392450
1.965849  0.404868
1.965867  0.405308
1.965886  0.432490
1.965904  0.407794
1.965921  0.371948
1.965941  0.356240
